Constabulary,Crime type,Longitude,Latitude,Count
South Wales Police,Anti-social behaviour,-4.0361,51.6482,1
South Wales Police,Anti-social behaviour,-4.036,51.6643,1
South Wales Police,Anti-social behaviour,-4.0355,51.7105,1
South Wales Police,Anti-social behaviour,-4.0353,51.6669,1
South Wales Police,Anti-social behaviour,-4.0353,51.6714,1
South Wales Police,Anti-social behaviour,-4.0352,51.6694,2
South Wales Police,Anti-social behaviour,-4.0349,51.6676,1
South Wales Police,Anti-social behaviour,-4.0349,51.6701,6
South Wales Police,Anti-social behaviour,-4.0348,51.6679,2
South Wales Police,Anti-social behaviour,-4.0347,51.713,1
South Wales Police,Anti-social behaviour,-4.0344,51.7145,2
South Wales Police,Anti-social behaviour,-4.0343,51.6435,1
South Wales Police,Anti-social behaviour,-4.034,51.6729,1
South Wales Police,Anti-social behaviour,-4.0338,51.6255,1
South Wales Police,Anti-social behaviour,-4.0332,51.7075,1
South Wales Police,Anti-social behaviour,-4.033,51.662,1
South Wales Police,Anti-social behaviour,-4.033,51.7156,5
South Wales Police,Anti-social behaviour,-4.033,51.716,2
South Wales Police,Anti-social behaviour,-4.0327,51.7107,9
South Wales Police,Anti-social behaviour,-4.0327,51.7136,1
South Wales Police,Anti-social behaviour,-4.0326,51.6688,1
South Wales Police,Anti-social behaviour,-4.0322,51.7118,1
South Wales Police,Anti-social behaviour,-4.032,51.6631,1
South Wales Police,Anti-social behaviour,-4.0313,51.6691,1
South Wales Police,Anti-social behaviour,-4.0311,51.6232,1
South Wales Police,Anti-social behaviour,-4.0311,51.7115,1
South Wales Police,Anti-social behaviour,-4.0311,51.7179,5
South Wales Police,Anti-social behaviour,-4.0311,51.7185,1
South Wales Police,Anti-social behaviour,-4.0305,51.7133,1
South Wales Police,Anti-social behaviour,-4.0305,51.7171,1
South Wales Police,Anti-social behaviour,-4.0302,51.5714,1
South Wales Police,Anti-social behaviour,-4.0302,51.6694,1
South Wales Police,Anti-social behaviour,-4.0298,51.6602,1
South Wales Police,Anti-social behaviour,-4.0296,51.7247,1
South Wales Police,Anti-social behaviour,-4.0295,51.7104,1
South Wales Police,Anti-social behaviour,-4.029,51.7163,5
South Wales Police,Anti-social behaviour,-4.0289,51.6602,1
South Wales Police,Anti-social behaviour,-4.0285,51.7234,1
South Wales Police,Anti-social behaviour,-4.0284,51.6397,1
South Wales Police,Anti-social behaviour,-4.0284,51.7146,2
South Wales Police,Anti-social behaviour,-4.0282,51.7155,1
South Wales Police,Anti-social behaviour,-4.0281,51.6583,1
South Wales Police,Anti-social behaviour,-4.028,51.7081,1
South Wales Police,Anti-social behaviour,-4.028,51.7178,1
South Wales Police,Anti-social behaviour,-4.0276,51.5781,1
South Wales Police,Anti-social behaviour,-4.0276,51.7138,1
South Wales Police,Anti-social behaviour,-4.0276,51.7189,2
South Wales Police,Anti-social behaviour,-4.0276,51.7301,1
South Wales Police,Anti-social behaviour,-4.0273,51.7108,3
South Wales Police,Anti-social behaviour,-4.0269,51.7184,1
South Wales Police,Anti-social behaviour,-4.0261,51.6392,1
South Wales Police,Anti-social behaviour,-4.0259,51.6231,1
South Wales Police,Anti-social behaviour,-4.0258,51.5739,1
South Wales Police,Anti-social behaviour,-4.0253,51.6392,1
South Wales Police,Anti-social behaviour,-4.0245,51.6192,2
South Wales Police,Anti-social behaviour,-4.0241,51.7251,4
South Wales Police,Anti-social behaviour,-4.0231,51.6141,1
South Wales Police,Anti-social behaviour,-4.0231,51.7152,1
South Wales Police,Anti-social behaviour,-4.0217,51.6259,1
South Wales Police,Anti-social behaviour,-4.0211,51.6158,2
South Wales Police,Anti-social behaviour,-4.021,51.6381,2
South Wales Police,Anti-social behaviour,-4.0207,51.6165,1
South Wales Police,Anti-social behaviour,-4.0204,51.6575,2
South Wales Police,Anti-social behaviour,-4.02,51.571,1
South Wales Police,Anti-social behaviour,-4.0193,51.638,1
South Wales Police,Anti-social behaviour,-4.0188,51.5859,3
South Wales Police,Anti-social behaviour,-4.0188,51.6183,1
South Wales Police,Anti-social behaviour,-4.0185,51.7032,5
South Wales Police,Anti-social behaviour,-4.0182,51.58,2
South Wales Police,Anti-social behaviour,-4.0181,51.6397,1
South Wales Police,Anti-social behaviour,-4.0178,51.6185,1
South Wales Police,Anti-social behaviour,-4.0177,51.5862,1
South Wales Police,Anti-social behaviour,-4.0173,51.569,3
South Wales Police,Anti-social behaviour,-4.0169,51.6258,1
South Wales Police,Anti-social behaviour,-4.0168,51.6677,2
South Wales Police,Anti-social behaviour,-4.0167,51.6377,3
South Wales Police,Anti-social behaviour,-4.0162,51.7457,1
South Wales Police,Anti-social behaviour,-4.0159,51.5932,2
South Wales Police,Anti-social behaviour,-4.0157,51.6924,1
South Wales Police,Anti-social behaviour,-4.0156,51.5846,1
South Wales Police,Anti-social behaviour,-4.0153,51.5861,4
South Wales Police,Anti-social behaviour,-4.0152,51.5919,1
South Wales Police,Anti-social behaviour,-4.015,51.5723,1
South Wales Police,Anti-social behaviour,-4.0148,51.57,1
South Wales Police,Anti-social behaviour,-4.0144,51.5679,3
South Wales Police,Anti-social behaviour,-4.0136,51.5681,1
South Wales Police,Anti-social behaviour,-4.0135,51.6702,1
South Wales Police,Anti-social behaviour,-4.0135,51.707,3
South Wales Police,Anti-social behaviour,-4.0128,51.5864,4
South Wales Police,Anti-social behaviour,-4.0127,51.5776,2
