Constabulary,Crime type,Longitude,Latitude,Count
Devon & Cornwall Police,Anti-social behaviour,-5.5307,50.1323,2
Devon & Cornwall Police,Anti-social behaviour,-5.5306,50.1244,2
Devon & Cornwall Police,Anti-social behaviour,-5.5293,50.117,1
Devon & Cornwall Police,Anti-social behaviour,-5.5283,50.1261,1
Devon & Cornwall Police,Anti-social behaviour,-5.5283,50.1306,1
Devon & Cornwall Police,Anti-social behaviour,-5.528,50.1255,1
Devon & Cornwall Police,Anti-social behaviour,-5.5261,50.1292,2
Devon & Cornwall Police,Anti-social behaviour,-5.5259,50.1296,1
Devon & Cornwall Police,Anti-social behaviour,-5.525,50.1279,2
Devon & Cornwall Police,Anti-social behaviour,-5.5245,50.1269,4
Devon & Cornwall Police,Anti-social behaviour,-5.5243,50.1275,3
Devon & Cornwall Police,Anti-social behaviour,-5.5229,50.1287,1
Devon & Cornwall Police,Anti-social behaviour,-5.5223,50.1277,2
Devon & Cornwall Police,Anti-social behaviour,-5.5208,50.1332,1
Devon & Cornwall Police,Anti-social behaviour,-5.5207,50.1401,2
Devon & Cornwall Police,Anti-social behaviour,-5.5202,50.1273,4
Devon & Cornwall Police,Anti-social behaviour,-5.5168,50.1286,1
Devon & Cornwall Police,Anti-social behaviour,-5.5158,50.1291,2
Devon & Cornwall Police,Anti-social behaviour,-5.5139,50.1278,2
Devon & Cornwall Police,Anti-social behaviour,-5.5138,50.1547,1
Devon & Cornwall Police,Anti-social behaviour,-5.5125,50.1287,3
Devon & Cornwall Police,Anti-social behaviour,-5.5115,50.1294,1
Devon & Cornwall Police,Anti-social behaviour,-5.5082,50.1299,1
Devon & Cornwall Police,Anti-social behaviour,-5.5041,50.1294,1
Devon & Cornwall Police,Anti-social behaviour,-5.5027,50.1824,1
Devon & Cornwall Police,Anti-social behaviour,-5.5009,50.204,1
Devon & Cornwall Police,Anti-social behaviour,-5.5004,50.1289,1
Devon & Cornwall Police,Anti-social behaviour,-5.5001,50.1318,1
Devon & Cornwall Police,Anti-social behaviour,-5.5001,50.2056,1
Devon & Cornwall Police,Anti-social behaviour,-5.4995,50.1758,1
Devon & Cornwall Police,Anti-social behaviour,-5.4985,50.1307,1
Devon & Cornwall Police,Anti-social behaviour,-5.4969,50.2058,1
Devon & Cornwall Police,Anti-social behaviour,-5.4962,50.1449,2
Devon & Cornwall Police,Anti-social behaviour,-5.4955,50.2072,2
Devon & Cornwall Police,Anti-social behaviour,-5.495,50.1972,1
Devon & Cornwall Police,Anti-social behaviour,-5.4947,50.2071,2
Devon & Cornwall Police,Anti-social behaviour,-5.4943,50.2085,1
Devon & Cornwall Police,Anti-social behaviour,-5.4941,50.2067,2
Devon & Cornwall Police,Anti-social behaviour,-5.494,50.2079,1
Devon & Cornwall Police,Anti-social behaviour,-5.4932,50.2072,2
Devon & Cornwall Police,Anti-social behaviour,-5.4927,50.2059,1
Devon & Cornwall Police,Anti-social behaviour,-5.4925,50.1955,1
Devon & Cornwall Police,Anti-social behaviour,-5.4919,50.2048,2
Devon & Cornwall Police,Anti-social behaviour,-5.4918,50.2076,1
Devon & Cornwall Police,Anti-social behaviour,-5.4918,50.2114,1
Devon & Cornwall Police,Anti-social behaviour,-5.4905,50.2113,1
Devon & Cornwall Police,Anti-social behaviour,-5.4903,50.2103,1
Devon & Cornwall Police,Anti-social behaviour,-5.49,50.2119,1
Devon & Cornwall Police,Anti-social behaviour,-5.4895,50.206,1
Devon & Cornwall Police,Anti-social behaviour,-5.4893,50.2036,1
Devon & Cornwall Police,Anti-social behaviour,-5.4888,50.2112,1
Devon & Cornwall Police,Anti-social behaviour,-5.4881,50.2115,4
Devon & Cornwall Police,Anti-social behaviour,-5.4875,50.2131,1
Devon & Cornwall Police,Anti-social behaviour,-5.4868,50.2109,1
Devon & Cornwall Police,Anti-social behaviour,-5.4865,50.1346,2
Devon & Cornwall Police,Anti-social behaviour,-5.4854,50.1455,1
Devon & Cornwall Police,Anti-social behaviour,-5.4854,50.2098,2
Devon & Cornwall Police,Anti-social behaviour,-5.4843,50.2092,1
Devon & Cornwall Police,Anti-social behaviour,-5.4828,50.214,1
Devon & Cornwall Police,Anti-social behaviour,-5.4826,50.2143,3
Devon & Cornwall Police,Anti-social behaviour,-5.4823,50.2066,2
Devon & Cornwall Police,Anti-social behaviour,-5.4823,50.2116,1
Devon & Cornwall Police,Anti-social behaviour,-5.4819,50.2113,1
Devon & Cornwall Police,Anti-social behaviour,-5.4818,50.2115,1
Devon & Cornwall Police,Anti-social behaviour,-5.4816,50.2139,1
Devon & Cornwall Police,Anti-social behaviour,-5.4815,50.2113,2
Devon & Cornwall Police,Anti-social behaviour,-5.4812,50.2111,1
Devon & Cornwall Police,Anti-social behaviour,-5.4811,50.2119,10
Devon & Cornwall Police,Anti-social behaviour,-5.4808,50.2117,3
Devon & Cornwall Police,Anti-social behaviour,-5.4807,50.2123,7
Devon & Cornwall Police,Anti-social behaviour,-5.4807,50.2127,3
Devon & Cornwall Police,Anti-social behaviour,-5.4806,50.2112,6
Devon & Cornwall Police,Anti-social behaviour,-5.4806,50.2153,3
Devon & Cornwall Police,Anti-social behaviour,-5.4805,50.1839,1
Devon & Cornwall Police,Anti-social behaviour,-5.4805,50.2148,2
Devon & Cornwall Police,Anti-social behaviour,-5.4804,50.214,2
Devon & Cornwall Police,Anti-social behaviour,-5.4802,50.2156,1
Devon & Cornwall Police,Anti-social behaviour,-5.4801,50.2151,1
Devon & Cornwall Police,Anti-social behaviour,-5.48,50.145,3
Devon & Cornwall Police,Anti-social behaviour,-5.48,50.2115,11
Devon & Cornwall Police,Anti-social behaviour,-5.48,50.213,20
Devon & Cornwall Police,Anti-social behaviour,-5.4797,50.1979,1
Devon & Cornwall Police,Anti-social behaviour,-5.4797,50.2151,1
